Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 116 0.310187 0.265872 0.204586 0.219355 1 
1 117 0.314364 0.267424 0.201818 0.216394 1 
1 118 0.318403 0.268786 0.199217 0.213593 1 
1 119 0.322292 0.269924 0.196813 0.210971 1 
1 120 0.326019 0.270812 0.194633 0.208536 1 
1 121 0.329578 0.271432 0.192695 0.206295 1 
1 122 0.332965 0.271772 0.191014 0.204248 1 
1 123 0.336177 0.271832 0.189598 0.202394 1 
1 124 0.339213 0.271616 0.188447 0.200724 1 
1 125 0.342075 0.271138 0.187558 0.199228 1 
1 126 0.344763 0.270419 0.186922 0.197896 1 
1 127 0.347278 0.269484 0.186524 0.196714 1 
1 128 0.349621 0.268365 0.186347 0.195668 1 
1 129 0.351789 0.267095 0.186369 0.194746 1 
1 130 0.353781 0.265714 0.18657 0.193936 1 
1 131 0.355589 0.264258 0.186925 0.193228 1 
1 132 0.357207 0.262766 0.187411 0.192616 1 
1 133 0.358622 0.261275 0.188006 0.192096 1 
1 134 0.359821 0.25982 0.18869 0.191669 1 
1 135 0.360786 0.258433 0.189445 0.191336 1 
1 136 0.361496 0.25714 0.190257 0.191107 1 
1 137 0.36193 0.255963 0.191115 0.190992 1 
1 138 0.362062 0.254921 0.192012 0.191005 1 
1 139 0.361867 0.254026 0.192945 0.191163 1 
1 140 0.361318 0.253283 0.193914 0.191485 1 
1 141 0.360391 0.252696 0.194924 0.191989 1 
1 142 0.359062 0.252259 0.195982 0.192698 1 
1 143 0.357311 0.251966 0.197095 0.193628 1 
1 144 0.355123 0.251804 0.198276 0.194796 1 
1 145 0.352487 0.251759 0.199535 0.196218 1 
1 146 0.349401 0.251814 0.200883 0.197901 1 
1 147 0.345869 0.25195 0.202329 0.199852 1 
1 148 0.341905 0.252148 0.20388 0.202068 1 
1 149 0.337531 0.252386 0.205541 0.204542 1 
1 150 0.332782 0.252646 0.207312 0.207259 1 
1 151 0.3277 0.25291 0.20919 0.210199 1 
1 152 0.322338 0.253162 0.211167 0.213333 1 
1 153 0.316758 0.253386 0.21323 0.216626 1 
1 154 0.31103 0.253572 0.215361 0.220037 1 
1 155 0.305233 0.253709 0.217538 0.22352 1 
1 156 0.299448 0.253793 0.219734 0.227025 1 
1 157 0.293764 0.253818 0.221919 0.2305 1 
1 158 0.288267 0.253784 0.22406 0.233889 1 
1 159 0.283047 0.253692 0.226122 0.237138 1 
1 160 0.278189 0.253548 0.228069 0.240195 1 
1 161 0.273773 0.253356 0.229864 0.243007 1 
1 162 0.269873 0.253124 0.231472 0.24553 1 
