Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 114 0.343789 0.228989 0.189682 0.237539 1 
1 115 0.362354 0.228089 0.180708 0.22885 1 
1 116 0.38122 0.22737 0.171251 0.220159 1 
1 117 0.400401 0.22665 0.161402 0.211547 1 
1 118 0.419919 0.22574 0.15126 0.203081 1 
1 119 0.439808 0.224443 0.140935 0.194814 1 
1 120 0.460105 0.222568 0.130544 0.186783 1 
1 121 0.480844 0.219935 0.120208 0.179014 1 
1 122 0.502051 0.216384 0.11005 0.171516 1 
1 123 0.523739 0.211782 0.100192 0.164287 1 
1 124 0.545904 0.206028 0.0907537 0.157315 1 
1 125 0.568516 0.199057 0.0818476 0.150579 1 
1 126 0.591518 0.190849 0.0735779 0.144055 1 
1 127 0.614822 0.181423 0.0660383 0.137716 1 
1 128 0.638307 0.170847 0.0593099 0.131537 1 
1 129 0.661815 0.159228 0.0534598 0.125497 1 
1 130 0.685154 0.146721 0.0485406 0.119584 1 
1 131 0.708098 0.133516 0.0445889 0.113797 1 
1 132 0.730388 0.119838 0.0416264 0.108147 1 
1 133 0.751738 0.105942 0.0396591 0.102662 1 
1 134 0.771835 0.0921019 0.038679 0.0973838 1 
1 135 0.790353 0.0786088 0.0386646 0.0923736 1 
1 136 0.806952 0.0657586 0.039583 0.0877067 1 
1 137 0.82129 0.0538458 0.0413907 0.0834738 1 
1 138 0.833031 0.0431543 0.0440363 0.0797784 1 
1 139 0.841855 0.0339499 0.0474619 0.0767337 1 
1 140 0.847463 0.0264724 0.0516052 0.0744591 1 
1 141 0.849594 0.0209288 0.0564016 0.0730759 1 
1 142 0.848024 0.0174872 0.0617854 0.0727031 1 
1 143 0.842584 0.0162722 0.0676918 0.073452 1 
1 144 0.83316 0.0173606 0.0740579 0.0754213 1 
1 145 0.819704 0.0207795 0.0808236 0.0786928 1 
1 146 0.802236 0.0265052 0.0879328 0.0833262 1 
1 147 0.780849 0.0344634 0.0953328 0.0893553 1 
1 148 0.755709 0.0445309 0.102975 0.0967846 1 
1 149 0.72706 0.056539 0.110814 0.105587 1 
1 150 0.695212 0.0702772 0.118809 0.115702 1 
1 151 0.660548 0.085499 0.126918 0.127035 1 
1 152 0.62351 0.101928 0.135104 0.139458 1 
1 153 0.584596 0.119264 0.143327 0.152812 1 
1 154 0.544349 0.137194 0.151549 0.166908 1 
1 155 0.503346 0.155392 0.159727 0.181534 1 
1 156 0.462187 0.173538 0.167817 0.196457 1 
1 157 0.421483 0.191316 0.175771 0.21143 1 
1 158 0.381842 0.208426 0.183534 0.226197 1 
1 159 0.343856 0.224591 0.191051 0.240502 1 
1 160 0.308088 0.23956 0.198259 0.254093 1 
1 161 0.275059 0.253118 0.205091 0.266731 1 
1 162 0.24524 0.265086 0.211477 0.278197 1 
1 163 0.219035 0.275324 0.217345 0.288295 1 
1 164 0.196781 0.283739 0.222619 0.296861 1 
1 165 0.178732 0.290278 0.227226 0.303764 1 
1 166 0.165063 0.294933 0.231093 0.308911 1 
1 167 0.155859 0.297735 0.234153 0.312253 1 
1 168 0.151123 0.298758 0.236342 0.313777 1 
1 169 0.150772 0.298109 0.237606 0.313513 1 
1 170 0.154641 0.295926 0.237901 0.311532 1 
1 171 0.162494 0.292374 0.237193 0.307938 1 
1 172 0.174028 0.287639 0.235463 0.30287 1 
1 173 0.188882 0.281921 0.232706 0.296492 1 
1 174 0.206651 0.275426 0.228932 0.28899 1 
1 175 0.226899 0.268366 0.224169 0.280566 1 
1 176 0.249164 0.260946 0.218461 0.271429 1 
1 177 0.272982 0.253361 0.211867 0.26179 1 
1 178 0.29789 0.245792 0.204463 0.251854 1 
1 179 0.323444 0.2384 0.196339 0.241816 1 
1 180 0.349228 0.231322 0.187598 0.231852 1 
1 181 0.374864 0.224668 0.178352 0.222116 1 
1 182 0.400021 0.218517 0.168726 0.212736 1 
1 183 0.424422 0.21292 0.158846 0.203811 1 
1 184 0.447848 0.207897 0.148846 0.195409 1 
1 185 0.47014 0.203436 0.138858 0.187567 1 
1 186 0.491199 0.199497 0.129012 0.180291 1 
1 187 0.510989 0.196015 0.119435 0.173561 1 
1 188 0.529524 0.192902 0.110245 0.167329 1 
1 189 0.546873 0.190049 0.10155 0.161528 1 
1 190 0.563143 0.187336 0.0934471 0.156075 1 
1 191 0.578476 0.18463 0.0860197 0.150874 1 
1 192 0.59304 0.181797 0.079336 0.145827 1 
1 193 0.607012 0.178703 0.0734491 0.140835 1 
1 194 0.620576 0.175221 0.0683956 0.135808 1 
1 195 0.633902 0.171236 0.0641966 0.130665 1 
1 196 0.647147 0.16665 0.0608579 0.125345 1 
1 197 0.660436 0.161387 0.0583707 0.119806 1 
1 198 0.67386 0.155393 0.0567136 0.114033 1 
1 199 0.687464 0.148648 0.0558536 0.108034 1 
1 200 0.701247 0.141157 0.0557488 0.101847 1 
1 201 0.715155 0.132959 0.0563497 0.0955363 1 
1 202 0.72908 0.124127 0.0576023 0.0891907 1 
1 203 0.742863 0.114763 0.0594498 0.0829235 1 
1 204 0.756298 0.105001 0.0618349 0.0768669 1 
1 205 0.76913 0.0949999 0.064702 0.0711685 1 
1 206 0.781069 0.0849462 0.0679991 0.0659856 1 
1 207 0.791797 0.0750441 0.0716791 0.0614798 1 
1 208 0.800975 0.0655131 0.0757014 0.057811 1 
1 209 0.808254 0.0565819 0.0800324 0.0551314 1 
1 210 0.813292 0.0484825 0.0846462 0.0535795 1 
1 211 0.815757 0.0414434 0.0895245 0.0532747 1 
1 212 0.815347 0.035684 0.0946565 0.0543122 1 
1 213 0.811796 0.0314071 0.100038 0.0567592 1 
1 214 0.804886 0.0287936 0.105669 0.0606514 1 
1 215 0.794458 0.0279964 0.111554 0.0659909 1 
1 216 0.780417 0.0291353 0.117702 0.0727451 1 
1 217 0.762741 0.0322924 0.124119 0.0808469 1 
1 218 0.741484 0.0375092 0.130811 0.0901962 1 
1 219 0.716775 0.0447833 0.13778 0.100661 1 
1 220 0.688826 0.0540678 0.145022 0.112084 1 
1 221 0.657922 0.0652704 0.152527 0.124281 1 
1 222 0.624419 0.0782549 0.160274 0.137052 1 
1 223 0.58874 0.0928432 0.168233 0.150184 1 
1 224 0.551365 0.108818 0.176361 0.163455 1 
1 225 0.512819 0.12593 0.184607 0.176644 1 
1 226 0.473666 0.143898 0.192903 0.189533 1 
1 227 0.434492 0.16242 0.201174 0.201914 1 
1 228 0.395892 0.181179 0.209332 0.213597 1 
1 229 0.358463 0.19985 0.217279 0.224408 1 
1 230 0.322783 0.218106 0.224912 0.234199 1 
1 231 0.289403 0.23563 0.23212 0.242848 1 
1 232 0.25883 0.252118 0.23879 0.250261 1 
1 233 0.231525 0.267291 0.24481 0.256374 1 
1 234 0.207881 0.2809 0.250069 0.26115 1 
1 235 0.188227 0.292728 0.254463 0.264582 1 
1 236 0.172812 0.302603 0.257896 0.266689 1 
1 237 0.161805 0.310396 0.260285 0.267515 1 
1 238 0.155294 0.316025 0.261559 0.267122 1 
1 239 0.153281 0.31946 0.261667 0.265591 1 
1 240 0.155689 0.320718 0.260576 0.263017 1 
1 241 0.16236 0.319864 0.258272 0.259503 1 
