Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 0 1 0 0 0 1 
1 1 0.996217 0.00135869 0.00121322 0.00121074 1 
1 2 0.984973 0.00539835 0.00482428 0.00480482 1 
1 3 0.966571 0.0120113 0.0107408 0.0106768 1 
1 4 0.941508 0.0210229 0.0188078 0.0186609 1 
1 5 0.91045 0.032198 0.0288137 0.0285379 1 
1 6 0.874208 0.0452496 0.0404987 0.0400442 1 
1 7 0.833703 0.0598494 0.0535651 0.0528824 1 
1 8 0.789938 0.07564 0.067689 0.0667328 1 
1 9 0.743955 0.0922469 0.0825319 0.0812659 1 
1 10 0.6968 0.109292 0.0977542 0.0961543 1 
1 11 0.649485 0.126405 0.113026 0.111084 1 
1 12 0.602957 0.143237 0.12804 0.125766 1 
1 13 0.558069 0.159469 0.14252 0.139943 1 
1 14 0.515555 0.174822 0.156227 0.153397 1 
1 15 0.476014 0.189061 0.168969 0.165955 1 
1 16 0.4399 0.202005 0.180602 0.177492 1 
1 17 0.407517 0.213524 0.191031 0.187928 1 
1 18 0.379021 0.22354 0.200211 0.197228 1 
1 19 0.354433 0.232029 0.208139 0.205399 1 
1 20 0.33365 0.239012 0.214855 0.212483 1 
1 21 0.316463 0.244552 0.220433 0.218552 1 
1 22 0.302579 0.24875 0.224972 0.223699 1 
1 23 0.291646 0.251734 0.228589 0.228031 1 
1 24 0.283274 0.253652 0.231413 0.231662 1 
1 25 0.277057 0.254664 0.233576 0.234703 1 
1 26 0.272599 0.254937 0.235202 0.237262 1 
1 27 0.269526 0.254635 0.236408 0.239431 1 
1 28 0.267507 0.253914 0.237292 0.241287 1 
1 29 0.266261 0.252918 0.237935 0.242887 1 
1 30 0.265566 0.251771 0.238395 0.244268 1 
1 31 0.265263 0.25058 0.238709 0.245449 1 
1 32 0.265253 0.249428 0.238892 0.246426 1 
1 33 0.265498 0.248378 0.23894 0.247184 1 
1 34 0.266008 0.247468 0.238834 0.247689 1 
1 35 0.266837 0.24672 0.238539 0.247903 1 
1 36 0.26807 0.246135 0.238016 0.247778 1 
1 37 0.269814 0.245698 0.237219 0.247268 1 
1 38 0.272183 0.245383 0.236104 0.246329 1 
1 39 0.275292 0.245154 0.234631 0.244923 1 
1 40 0.279242 0.244968 0.232768 0.243022 1 
1 41 0.284117 0.244779 0.230495 0.240609 1 
1 42 0.289973 0.244541 0.227805 0.237682 1 
1 43 0.296835 0.24421 0.224705 0.234251 1 
1 44 0.304694 0.243747 0.221216 0.230342 1 
1 45 0.313508 0.243119 0.217377 0.225996 1 
1 46 0.323199 0.2423 0.213237 0.221264 1 
1 47 0.333659 0.241274 0.208857 0.21621 1 
1 48 0.344752 0.240031 0.204311 0.210906 1 
1 49 0.356321 0.238574 0.199675 0.20543 1 
1 50 0.368189 0.236913 0.195032 0.199866 1 
1 51 0.38017 0.235068 0.190465 0.194297 1 
1 52 0.392071 0.233066 0.186056 0.188807 1 
1 53 0.403701 0.230941 0.181881 0.183477 1 
1 54 0.414873 0.228733 0.178012 0.178382 1 
1 55 0.425411 0.226489 0.174509 0.173592 1 
1 56 0.435151 0.224256 0.171425 0.169168 1 
1 57 0.44395 0.222086 0.1688 0.165163 1 
1 58 0.451683 0.22003 0.166664 0.161623 1 
1 59 0.458245 0.21814 0.165034 0.158581 1 
1 60 0.463558 0.216463 0.163915 0.156064 1 
1 61 0.467561 0.215047 0.163303 0.154089 1 
1 62 0.470221 0.21393 0.163183 0.152665 1 
1 63 0.471524 0.21315 0.163534 0.151792 1 
1 64 0.471476 0.212734 0.164324 0.151466 1 
1 65 0.470104 0.212702 0.16552 0.151674 1 
1 66 0.467451 0.213068 0.167081 0.1524 1 
1 67 0.463576 0.213835 0.168966 0.153623 1 
1 68 0.45855 0.214998 0.171133 0.155319 1 
1 69 0.452458 0.216543 0.17354 0.157459 1 
1 70 0.445392 0.218448 0.176146 0.160013 1 
1 71 0.437455 0.220681 0.178912 0.162951 1 
1 72 0.428754 0.223204 0.181803 0.166239 1 
1 73 0.419399 0.225971 0.184787 0.169844 1 
1 74 0.409505 0.228931 0.187835 0.173729 1 
1 75 0.399188 0.232029 0.190922 0.177861 1 
1 76 0.388562 0.235207 0.194028 0.182203 1 
1 77 0.377741 0.238405 0.197136 0.186718 1 
1 78 0.366837 0.241563 0.200229 0.191371 1 
1 79 0.355957 0.244622 0.203297 0.196124 1 
1 80 0.345204 0.247528 0.206328 0.20094 1 
1 81 0.334675 0.250229 0.209314 0.205782 1 
